term,estimate
Bias,1589.1519394950553
tfidf_review_text_lovely,319.24324167305355
tfidf_review_text_society,298.4363555487007
tfidf_review_text_vampire,281.7102816542781
tfidf_review_text_dystopian,204.09694038114944
tfidf_review_text_body,183.21533881999292
tfidf_review_text_teenage,160.4681474257147
tfidf_review_text_murder,158.4779527727711
tfidf_review_text_movie,148.5653189669903
tfidf_review_text_earth,147.24039577603963
tfidf_review_text_death,144.75415475877875
tfidf_review_text_sex,143.40974653845856
tfidf_review_text_apart,133.24004483925884
tfidf_review_text_hate,131.25790840299894
tfidf_review_text_teen,119.87270684546016
tfidf_review_text_move,118.20837152023489
tfidf_review_text_film,109.41421136450222
tfidf_review_text_narrator,106.07355500794496
tfidf_review_text_watching,104.67341335931717
tfidf_review_text_boring,104.1286462271147
tfidf_review_text_read,103.75851251253613
tfidf_review_text_face,99.8118844526377
tfidf_review_text_reading,90.8439501363616
tfidf_review_text_games,84.45381966953637
tfidf_review_text_watch,83.73057601298885
tfidf_review_text_agree,81.56441421088218
tfidf_review_text_money,81.36230733736467
tfidf_review_text_decided,79.57024189019108
tfidf_review_text_terrible,78.00020718171763
tfidf_review_text_potter,77.545845927415
tfidf_review_text_friends,75.62531291964449
tfidf_review_text_away,75.59917282496549
tfidf_review_text_romance,75.05584456535006
tfidf_review_text_dead,74.49719701763775
tfidf_review_text_love,74.34377557531832
tfidf_review_text_pages,70.94682625556067
tfidf_review_text_attention,70.51190838568465
tfidf_review_text_annoying,68.92386993076788
tfidf_review_text_killed,68.77296700123213
tfidf_review_text_perspective,68.2044102500292
tfidf_review_text_3,67.63740609540739
tfidf_review_text_following,66.88751522063052
tfidf_review_text_caught,66.05388467822297
tfidf_review_text_perfect,65.78515592253093
tfidf_review_text_john,64.85696549375068
tfidf_review_text_telling,64.46761182583212
tfidf_review_text_literary,64.43230519436716
tfidf_review_text_white,64.25215470982593
tfidf_review_text_predictable,64.14103327257496
tfidf_review_text_family,63.03057614341268
tfidf_review_text_however,61.916659458584135
tfidf_review_text_girl,61.09689566439234
tfidf_review_text_knows,60.895006351717
tfidf_review_text_loving,60.00987201309663
tfidf_review_text_boys,59.559745967058845
tfidf_review_text_wanted,58.50639322620093
tfidf_review_text_boy,58.37636802629371
tfidf_review_text_view,58.106988606445185
tfidf_review_text_drama,57.41808406583751
tfidf_review_text_without,57.07356431689817
tfidf_review_text_best,56.90793792499111
tfidf_review_text_cover,56.588867986277386
